state,x,y
Andaman and Nicobar Islands,124.0,-153.0
Andhra Pradesh,-103.0,-102.0
Arunachal Pradesh,139.0,111.0
Assam,121.0,74.0
Bihar,7.0,60.0
Chandigarh,-140.0,138.0
Chhattisgarh,-58.0,-30.0
Dadra Nagar Haveli andÂ Daman Diu,-194.0,-28.0
Delhi,-133.0,113.0
Goa,-183.0,-112.0
Gujarat,-218.0,12.0
Haryana,-135.0,125.0
Himachal Pradesh,-123.0,162.0
Jammu and Kashmir,-152.0,194.0
Jharkhand,-3.0,28.0
Karnataka,-150.0,-118.0
Kerala,-148.0,-192.0
Ladakh,-136.0,226.0
Lakshadweep,-221.0,-172.0
Madhya Pradesh,-89.0,24.0
Maharashtra,-145.0,-38.0
Manipur,137.0,48.0
Meghalaya,95.0,54.0
Mizoram,119.0,23.0
Nagaland,143.0,76.0
Odisha,1.0,-18.0
Puducherry,-90.0,-163.0
Punjab,-153.0,154.0
Rajasthan,-181.0,86.0
Sikkim,47.0,93.0
Tamil Nadu,-110.0,-186.0
Telangana,-100.0,-60.0
Tripura,105.0,29.0
Uttar Pradesh,-75.0,90.0
Uttarakhand,-95.0,136.0
West Bengal,39.0,12.0
